Coin,Total Return (%),CAGR (%),Volatility,Sharpe Ratio,Max Drawdown (%)
ADA-USD,520.5315201798494,29.17057178396012,0.9965901014370363,0.2927038081343325,-91.8512966620794
ALGO-USD,-95.58023840896954,-37.382110137531285,1.1317669812046336,-0.33029864590803315,-96.2899035741747
APT-USD,-99.95543763023534,-88.35027727361205,2.3614601264114254,-0.37413410578256456,-99.95577779865407
ATOM-USD,-71.50447665218029,-16.560369601905734,1.1106308638986764,-0.14910777415075102,-95.92705110637704
AVAX-USD,85.99307074663838,12.15166647371706,1.185329663597662,0.10251718865142412,-93.83099115806887
BNB-USD,9813.171160034217,90.50858898468421,0.8463818477869902,1.069358815070696,-75.81906930074219
BTC-USD,1640.3602789835816,49.26772775404835,0.6211919090907319,0.7931160569390524,-76.63456370856908
DOGE-USD,4149.654042866925,69.17349832446679,1.7927576986176694,0.38584967939506815,-92.25850212888339
DOT-USD,-52.9191190025559,-12.808787345291872,1.0376279456210427,-0.12344296815970524,-97.6910987348257
ETC-USD,60.29310049000589,6.8399645379414675,1.0080317593483203,0.06785465313477243,-94.00743813360535
ETH-USD,1172.8558079479747,42.86151649372529,0.813113943108881,0.5271280471448744,-79.35123166505245
FIL-USD,-70.98956325642311,-15.93062014458475,1.6536438484066132,-0.09633646422677335,-99.54048345411034
HBAR-USD,14.977217788716723,2.1970289317956526,1.2982709708024802,0.016922730163469932,-92.79949694149809
ICP-USD,-99.34685952118963,-65.1307524702325,1.1305440236620747,-0.5761009841904255,-99.386901217771
LINK-USD,2676.107029929257,59.36857706481391,1.0978994000883637,0.5407469669810884,-90.19294299917969
LTC-USD,62.15238647904333,7.012877812663509,0.8847338492875909,0.07926539510509797,-88.79539041376445
MATIC-USD,6134.9469885994995,101.24047166030783,1.4054550969890718,0.7203394251242666,-92.82852175946067
SHIB-USD,232.0001959961088,28.129413001699266,2.635686390555431,0.10672518969820009,-92.49999954525262
SOL-USD,10873.491190728666,123.0120235179303,1.223062625335887,1.0057704402842642,-96.27249768997589
TRX-USD,1283.566058041723,44.54205445583812,0.8690804515887814,0.51251934587195,-77.19739661563514
UNI-USD,-98.96382931560976,-56.51307750141983,5.55207731452831,-0.10178726681910594,-99.99999481215832
XLM-USD,41.26752835355103,4.963755502629197,1.006517171949191,0.049316153176170226,-90.25378224149144
XMR-USD,509.1379363462358,28.835349777928965,0.8366924379425199,0.3446349993175142,-78.45603085888558
XRP-USD,290.83661383396776,21.062947150223522,1.0137961643257614,0.20776313712166897,-83.24902308241242
